DocumentNumber,County,Narrative
20203168201,Franklin County,Unit 1 was traveling south on Main Street passing the exit to McDonalds located at 3685 Main Street. Unit 2 was exiting the McDonalds turning left onto Main Street to go north and was struck on the drivers side after failing to yield.
20203169023,Franklin County,"On 10-6-2020 Unit #1 was traveling from North to South on Georgesville Road approaching Clime Road North Road intersection. Unit #1 was traveling in the center lane (which had double yellow lines in both directions) in an effort to ""Go around"" traffic. While traveling in the incorrect lane Unit #2; which was also going from North to South on Gerogesville Road; veered over to turn left into the McDonald's drive through using his turn signal and struck Unit #1. After talking with Unit #1; Unit #2 and the witness (who was traveling from North to South in the furthest West lane of Gerogesville Road) it was determined that Unit #1 was at fault for using the turn lane as a thorough lane which was an illegal action. Due to Unit #1 using the incorrect lane Unit #2 struck Unit #1. Unit #1 was cited at Grant Hospital (which is where he went for his injuries in stable condition by Franklin Township 192) for 2131.07 (A) Hazardous or no passing zone. Unit #1 was taken by Unit #1's family to a residence close to the crash location. Unit #2 did not require any towing. "
20203171089,Franklin County,On 10/9/2020 at approximately 8:55 PM; Officer A. McDonald #2811 and Officer S. Weeks #2832; wearing the uniform of the day and working CPD marked cruiser 120 were dispatched to E. Rich St. and S. Ohio Ave. in response to an auto accident property damage only. Upon arrival Officer McDonald spoke with the driver of unit #2 who was identified by her Ohio drivers license as Ayris Rigsbee. Ms. Rigsbee stated that the driver of unit #1 left the scene prior to officers arrival. Ms. Rigsbee stated that she was traveling S/B on S. Ohio Ave. approaching E. Rich St. Ms. Rigsbee stated that the driver of unit #1 was going the wrong was on S. Ohio Ave. (which is one way south). Ms. Rigsbee stated that she pulled off to the side to allow unit #1 to pass her. Ms. Rigsbee stated that unit #1 crashed into the front left of her vehicle. Ms. Rigsbee stated that the driver of unit #1 pulled to the curb at the intersection of E. Rich St. and S. Ohio Ave. Ms. Rigsbee described the female driver as a femlae white; approximately twenty-six to thirty years old; dark hair; and approximately 130 pounds. Ms. Rigsbee stated that the female driver appeared to be heavily intoxicated. Ms. Rigsbee stated that the driver of unit #1 then left the scene. Ms. Rigsbee stated that the license plate to the at fault vehicle was JEH2521 and that it was a black Nissan. A occupant in unit #1 by the name of Colin 
20203175958,Franklin County,Diver of Unit 2 states she was in the drive thur at McDonalds; 1589 W Broad St; when she was rear ended by Unit 2. Diver of Unit 2 asked if she was all right and stated that his foot fell of the brake and ha stuck Unit 1.  Unit 2 then fled the scene.There was minimal damage to Unit 1.
20203183836,Franklin County,On 10/23/2020 at approxiamtely 4:53 PM; Officer A. McDonald #2811 and Officer S. Weeks #2832; wearing the uniform of the day and working CPD marked cruiser R-9160 as unit 122 were dispatched to I-70 W/B at S. Ohio Ave. in response to an auto accident. Upon arrival Officer McDonald spoke with the daughter of the driver of unit #2 Kalpana; who arrived at scene after the accident occured. Due to the language barrier Kalpana acted as a interpreter for officers and Guru Timsina; the operator of unit #1. According to Mr. Timsina he was struck in the rear of his vehicle by unit #1. Officer Weeks spoke to the driver of unit #1 who was identified by her Ohio drivers license as Mercedes Martell. Ms. Martell stated that unit #2 came to a abrupt stop and she crashed into the rear of unit #2. Both parties were issued a incident report number and advised to contact their insurance companies. 
20203187027,Franklin County,On October 29th; 2020; Officer S. Browning #3043 was dispatched to the area of Alum Creek Drive and East Livingston Avenue for a report of a hit-skip vehicle accident. Upon arrival; Officer Browning made contact with the Operator of Unit #1; identified through her OHDL as Mackenzie Wilcox. Ms. Wilcox stated that she was traveling southbound on Alum Creek Drive and was attempting to turn into the McDonald's on Alum Creek Drive. To do so; Ms. Wilcox had to cross the northbound lanes of traffic traveling eastbound. Ms. Wilcox stated that traffic had slowed down and some driver's had stopped to let her through. As Ms. Wilcox attempted to cross the northbound lanes of traffic; Unit #2 was traveling northbound and struck her vehicle as she attempted to turn. Ms. Wilcox stated that the female driver of Unit #2 became angry and cussed at Ms. Wilcox before fleeing the scene northbound. A witness called Columbus Police Dispatch and stated that the hit-skip vehicle (Unit #2) had an Ohio license plate and was numbered HPP5853. The witness who called Columbus Police Dispatch was not at the scene when Officer Browning arrived. Officer Browning was unable to due a follow up with the hit-skip vehicle due to the distance of the town that Unit #2 was registered to. Ms. Wilcox was cited for failure to yield. Unit #1 was towed at the cost of the owner to a local lot.
20203188256,Franklin County,Accident occurred on New Albany Road just n/o Fodor Road. Unit #2 stated that he was getting ready to exit from the Wendys located at 7400 Fodor Road onto New Albany Road when he observed unit #1 n/b on New Albany Road run off the right side of the of roadway just a few feet n/o the exit from Wendys. Unit #2 stopped his vehicle to see what unit #1 was going to do. After 5 to 10 minutes of waitng for unit #1 to either back up or go forward unit #2 decided to go ahead and exit from Wendys onto New Albany Road. Just as unit #2 was about to exit onto New Albany Road; unit #1 backed up and struck unit #2. Unit #2 after getting struck jumped out of his vehicle and a took a picture with his cellphone of the tag of unit #1 as unit #1 was fleeing n/b on New Albany Road. Unit #2 jumped back into his vehicle and started following unit #1; calling 9-1-1.; but lost unit #1 somewhere in Licking County; however unit #2 stated that a short time later he received a phone call back from the Licking County Sheriffs office advising him that unit #1 was stopped by Pataskala Police; but he would have to call Columbus Police to file a report. Due to this all happening after midnight unit #2 decided to wait until later to call CPD. No follow up was attempted due to the suspect vehicle was registered to an address outside of Columbus jurisdiction. Unit #1 tag GEP-8512.
20203203074,Franklin County,Driver of Unit 2(OH DL SD087898)) said she was in the drive thru lane at McDonalds 800 Georgesville Rd when Unit 1 rear ended her. Driver of Unit 2 said Driver of Unit 1 argued with her and then drove away without exchanging information. Driver of Unit 1 was described as a female hispanic in her 20s with black hair and no shoes on. There were believed to have been no other occupants in Unit 1. Unit 1 was described as a blue 4 door Honda Civic with a broken windshield. Driver of Unit 2 took a picture of OL HSV3112 on Unit 1. HSV3112  registered to 1926 Frank Rd to a blue Honda Civic. Officers conducted follow up at 1926 Frank Rd and were unable to locate Unit 1. Unit 2(OL 181ZFG) had very minor damage to the rear driver side bumper. Driver of Unit 2 denied injury and declined medical attention. Driver of Unit 2 was given an incident number. 
20203205393,Franklin County,Unit 1 was traveling northbound from the McDonald's parking lot located at 6323 E Main St; attempting to turn westbound onto E Main St. Unit 2 was traveling westbound on E Main St towards Brice Rd. Unit 1 pulled out onto E Main St; strking Unit 2 on the driver side of the vehicle. Unit 1 sustained functional damage to the front end. Unit 2 sustained minor damaage to the front drivers side corner and both doors on the drivers side. No injuries were reported.
20203206677,Franklin County,Officers were dispatched to an injury accident at the intersection of Cleveland Ave and Loretta Ave. Upon arrival unit 2 was still on scene but there was no occupant. The driver of unit 2 was already transported to Grant Hospital by CFD medic 16. Officers from zone 5 responded to Grant hospital to check on the driver  of unit 2. The driver of unit 2 stated he was stopped in traffic heading south bound on Cleveland Ave just north of Loretta Ave when unit 1 struck him in the rear. Unit 2 stated he believes she was heading 35 mph when she struck him. Unit 2 stated unit 1 was a light blue Hyundai Sonata with OH tag JEQ6797; which he had a picture of the vehicle and license plate. Unit 2 stated as soon as he got into the medic unit 1 left the scene. The driver of unit 2 stated that the driver of unit 1 was a heavy set female black with a Chipotle shirt on. Unit 2 was towed by Johnson's towing to CPD's impound lot for safe keeping. Officers circulated the area but were unable to find the hit-skip unit. A follow up could not be conducted due to zone 2 being on priority runs.
