id,type,lat,lon,name,direction,operator
197277038,node,39.8843582,-82.7590227,,,
197277113,node,39.904565,-82.773159,,both,
197277134,node,39.9100273,-82.7785005,,,
197277145,node,39.912295,-82.779316,,,
197277148,node,39.9148129,-82.7798962,,both,
197277170,node,39.9175909,-82.7807326,,,
197277227,node,39.929384,-82.7885781,,,
197289946,node,39.884032,-82.753188,,,
197294935,node,39.8585607,-82.7802799,,both,
197294957,node,39.8461684,-82.7814067,,,
197324004,node,39.9093146,-82.7659593,,both,
197325847,node,39.907345,-82.731044,,,
197325872,node,39.9080536,-82.7434372,,,
197325883,node,39.9082803,-82.7473884,,,
197338182,node,39.9293571,-82.7904921,,both,
197344623,node,39.834288,-82.744291,,,
197344626,node,39.834467,-82.74428,,,
197364739,node,39.8902946,-82.7772647,,both,
198244095,node,40.1468329,-82.7025269,,,
198318679,node,40.1449486,-82.7067886,,,
198410785,node,39.9447252,-83.270745,,,
198417322,node,39.946046,-83.253777,,,
198417324,node,39.945933,-83.253777,,,
198420073,node,39.7199417,-83.2659451,,,
198420268,node,40.1043883,-83.2787554,,,
198429168,node,39.941673,-83.271255,,,
198438024,node,39.944819,-83.268883,,,
198525517,node,39.9559503,-82.7715207,,both,
198532160,node,40.139099,-82.719695,,both,
198596393,node,39.990231,-82.752577,,,
198612388,node,40.078169,-82.72399,,both,
198612897,node,39.987885,-82.767494,,,
198620298,node,40.0766556,-82.7535279,,,
199233619,node,39.7186067,-82.9867126,,,
199249557,node,39.7145823,-82.9869808,,,
199289620,node,39.723508,-82.9528398,,both,
199378282,node,39.7735655,-82.9890594,,,
199379000,node,39.7735748,-82.9892918,,,
200169900,node,40.1106983,-83.2781196,,,
200185873,node,40.156249,-83.236463,,,
229577937,node,39.9628651,-83.0229995,,,
229577985,node,39.9636888,-83.0393643,,,
229577994,node,39.9639831,-83.0453272,,,
229578122,node,39.975191,-83.067603,,both,
229578178,node,39.98482,-83.074976,,both,
229578246,node,39.9948173,-83.0859803,,,
229578962,node,40.000693,-82.983954,,,
229579826,node,39.9759274,-83.0226214,,,
229580340,node,39.917816,-82.921581,,,
229580886,node,40.0519075,-83.0321432,,,
229581201,node,39.9374021,-82.8786511,,,
229582524,node,39.9537153,-82.9964075,,,
229584016,node,39.985612,-82.9397713,,,
229584560,node,40.0310338,-82.9954694,,both,
229587231,node,39.956456,-83.018889,,forward,
229587452,node,40.0240734,-82.9943602,,both,
229587759,node,40.1570953,-82.986256,,,
229587904,node,40.0185884,-83.0331185,,,
229588240,node,39.999641,-82.930094,,,
229589491,node,39.986271,-82.984677,,,
229590685,node,40.1069388,-82.9494263,,,
229591188,node,39.917405,-82.995363,,,
229595854,node,39.9352223,-82.8788538,,,
229597911,node,39.9715095,-82.9903107,,,
229599406,node,39.9779392,-83.0611672,,both,
229600017,node,40.1476967,-82.928777,,,
229600021,node,40.147495,-82.928786,,,
229600028,node,40.1498067,-82.9220206,,,
229600093,node,40.0630757,-83.0309164,,both,
229601208,node,40.030916,-82.994083,,both,
229601276,node,40.0875572,-82.7995756,,,
229602988,node,39.8569398,-82.8279647,,,
229604265,node,39.993863,-82.985802,,,
229605283,node,39.944743,-82.944746,,both,
229607200,node,39.9153779,-82.9821017,,both,
229608952,node,39.9578085,-82.985027,,both,
229609892,node,40.149296,-83.152344,,,
229609896,node,40.149356,-83.152131,,,
229610048,node,40.154109,-83.132633,,,
229610150,node,40.1539513,-83.1227313,,both,
229610152,node,40.1538848,-83.1226384,,both,
229611312,node,40.154698,-83.088585,,,
229611564,node,39.967482,-83.046642,,,
229612573,node,39.9570109,-83.0436685,,,
229612617,node,39.955295,-83.018652,,,
229612889,node,39.915665,-82.99534,,,
229613096,node,39.916172,-82.965921,,both,
229613369,node,40.1070645,-82.9494209,,,
229614324,node,40.0615196,-82.9970631,,,
229615322,node,40.0615953,-82.9988222,,,
229615744,node,40.140249,-83.118798,,both,
229616097,node,39.956743,-83.045942,,,
229616144,node,40.018647,-83.0346497,,,
229618317,node,39.878405,-83.05169,,,
